VMetaFrameType.PROTO/drone/quat/w,VMetaFrameType.PROTO/drone/quat/x,VMetaFrameType.PROTO/drone/quat/y,VMetaFrameType.PROTO/drone/quat/z,VMetaFrameType.PROTO/drone/location/latitude,VMetaFrameType.PROTO/drone/location/longitude,VMetaFrameType.PROTO/drone/location/altitude_wgs84ellipsoid,VMetaFrameType.PROTO/drone/location/altitude_egm96amsl,VMetaFrameType.PROTO/drone/location/horizontal_accuracy,VMetaFrameType.PROTO/drone/location/vertical_accuracy,VMetaFrameType.PROTO/drone/location/sv_count,VMetaFrameType.PROTO/drone/ground_distance,VMetaFrameType.PROTO/drone/local_position/x,VMetaFrameType.PROTO/drone/local_position/y,VMetaFrameType.PROTO/drone/local_position/z,VMetaFrameType.PROTO/drone/speed/north,VMetaFrameType.PROTO/drone/speed/east,VMetaFrameType.PROTO/drone/speed/down,VMetaFrameType.PROTO/drone/battery_percentage,VMetaFrameType.PROTO/drone/animation_in_progress,VMetaFrameType.PROTO/drone/flying_state,VMetaFrameType.PROTO/drone/piloting_mode,VMetaFrameType.PROTO/camera/timestamp,VMetaFrameType.PROTO/camera/base_quat/w,VMetaFrameType.PROTO/camera/base_quat/x,VMetaFrameType.PROTO/camera/base_quat/y,VMetaFrameType.PROTO/camera/base_quat/z,VMetaFrameType.PROTO/camera/quat/w,VMetaFrameType.PROTO/camera/quat/x,VMetaFrameType.PROTO/camera/quat/y,VMetaFrameType.PROTO/camera/quat/z,VMetaFrameType.PROTO/camera/location/latitude,VMetaFrameType.PROTO/camera/location/longitude,VMetaFrameType.PROTO/camera/location/altitude_wgs84ellipsoid,VMetaFrameType.PROTO/camera/location/altitude_egm96amsl,VMetaFrameType.PROTO/camera/location/horizontal_accuracy,VMetaFrameType.PROTO/camera/location/vertical_accuracy,VMetaFrameType.PROTO/camera/location/sv_count,VMetaFrameType.PROTO/camera/principal_point/x,VMetaFrameType.PROTO/camera/principal_point/y,VMetaFrameType.PROTO/camera/exposure_time,VMetaFrameType.PROTO/camera/iso_gain,VMetaFrameType.PROTO/camera/awb_r_gain,VMetaFrameType.PROTO/camera/awb_b_gain,VMetaFrameType.PROTO/camera/hfov,VMetaFrameType.PROTO/camera/vfov
0.4116710424423218,-0.0060580335557460785,-0.039483826607465744,-0.9104565978050232,48.87921620000023,2.368743700000114,49.4640007019043,3.075000047683716,0.7990306615829468,0.800000011920929,20,0,0,0,0,0,0,0,100,false,FS_TAKINGOFF,PM_UNKNOWN,19533000,0.41133660078048706,0,0,-0.9114835262298584,0.4114067554473877,0.000001783918605724466,-0.0000035408561416261364,-0.9114518761634827,48.879215215241906,2.3687419469981665,49.50221633911133,3.1132147312164307,0.7990306615829468,0.800000011920929,20,0.5,0.28125,0,0,0,0,1.1763519048690796,0.7177882790565491
0.4116884768009186,-0.006041478365659714,-0.03948663920164108,-0.9104487299919128,48.87921620000023,2.368743700000114,49.4640007019043,3.075000047683716,0.7990306615829468,0.800000011920929,20,0,0,0,0,0,0,0,100,false,FS_TAKINGOFF,PM_UNKNOWN,19567000,0.41135215759277344,0,0,-0.9114764928817749,0.4113987982273102,-5.311239306138305e-7,2.484347874087689e-7,-0.9114554524421692,48.87921521528961,2.3687419469545596,49.502220153808594,3.1132187843322754,0.7990306615829468,0.800000011920929,20,0.5,0.28125,0,0,0,0,1.1763519048690796,0.7177882790565491
0.4116891026496887,-0.0060147978365421295,-0.03947916626930237,-0.9104490280151367,48.87921630000008,2.368743700000114,49.4640007019043,3.075000047683716,0.7990306615829468,0.800000011920929,20,0,0,0,0,0,0,0,100,false,FS_TAKINGOFF,PM_UNKNOWN,19600000,0.4113532304763794,0,0,-0.9114760160446167,0.41140809655189514,0.0000024919759198382962,-0.000008202092431019992,-0.9114512801170349,48.87921531530589,2.3687419469655633,49.50222396850586,3.1132259368896484,0.7990306615829468,0.800000011920929,20,0.5,0.28125,0,0,0,0,1.1763519048690796,0.7177882790565491
0.4116710424423218,-0.0060580335557460785,-0.039483826607465744,-0.9104565978050232,48.87921620000023,2.368743700000114,49.4640007019043,3.075000047683716,0.7990306615829468,0.800000011920929,20,0,0,0,0,0,0,0,100,false,FS_TAKINGOFF,PM_UNKNOWN,19533000,0.41133660078048706,0,0,-0.9114835262298584,0.4114067554473877,0.000001783918605724466,-0.0000035408561416261364,-0.9114518761634827,48.879215215241906,2.3687419469981665,49.50221633911133,3.1132147312164307,0.7990306615829468,0.800000011920929,20,0.5,0.28125,0,0,0,0,1.1763519048690796,0.7177882790565491
0.4116884768009186,-0.006041478365659714,-0.03948663920164108,-0.9104487299919128,48.87921620000023,2.368743700000114,49.4640007019043,3.075000047683716,0.7990306615829468,0.800000011920929,20,0,0,0,0,0,0,0,100,false,FS_TAKINGOFF,PM_UNKNOWN,19567000,0.41135215759277344,0,0,-0.9114764928817749,0.4113987982273102,-5.311239306138305e-7,2.484347874087689e-7,-0.9114554524421692,48.87921521528961,2.3687419469545596,49.502220153808594,3.1132187843322754,0.7990306615829468,0.800000011920929,20,0.5,0.28125,0,0,0,0,1.1763519048690796,0.7177882790565491
0.4116891026496887,-0.0060147978365421295,-0.03947916626930237,-0.9104490280151367,48.87921630000008,2.368743700000114,49.4640007019043,3.075000047683716,0.7990306615829468,0.800000011920929,20,0,0,0,0,0,0,0,100,false,FS_TAKINGOFF,PM_UNKNOWN,19600000,0.4113532304763794,0,0,-0.9114760160446167,0.41140809655189514,0.0000024919759198382962,-0.000008202092431019992,-0.9114512801170349,48.87921531530589,2.3687419469655633,49.50222396850586,3.1132259368896484,0.7990306615829468,0.800000011920929,20,0.5,0.28125,0,0,0,0,1.1763519048690796,0.7177882790565491
0.41168519854545593,-0.006009683012962341,-0.039480797946453094,-0.9104506969451904,48.87921630000008,2.368743700000114,49.4640007019043,3.075000047683716,0.7990306615829468,0.800000011920929,20,0,0,0,0,0,0,0,100,false,FS_TAKINGOFF,PM_UNKNOWN,19633000,0.41134944558143616,0,0,-0.9114777445793152,0.41141238808631897,-8.734867833481985e-7,6.683699780296593e-7,-0.9114493131637573,48.87921531529946,2.3687419469794198,49.502227783203125,3.113226890563965,0.7990306615829468,0.800000011920929,20,0.5,0.28125,0,0,0,0,1.1763519048690796,0.7177882790565491
0.41168519854545593,-0.006009683012962341,-0.039480797946453094,-0.9104506969451904,48.87921630000008,2.368743700000114,49.4640007019043,3.075000047683716,0.7990306615829468,0.800000011920929,20,0,0,0,0,0,0,0,100,false,FS_TAKINGOFF,PM_UNKNOWN,19633000,0.41134944558143616,0,0,-0.9114777445793152,0.41141238808631897,-8.734867833481985e-7,6.683699780296593e-7,-0.9114493131637573,48.87921531529946,2.3687419469794198,49.502227783203125,3.113226890563965,0.7990306615829468,0.800000011920929,20,0.5,0.28125,0,0,0,0,1.1763519048690796,0.7177882790565491
0.41168084740638733,-0.005997304804623127,-0.039483994245529175,-0.910452663898468,48.87921630000008,2.368743700000114,49.4640007019043,3.075000047683716,0.7990306615829468,0.800000011920929,20,0,0,0,0,0,0,0,100,false,FS_TAKINGOFF,PM_UNKNOWN,19667000,0.4113463759422302,0,0,-0.911479115486145,0.41140732169151306,-0.000012714038348349277,0.000025977007680921815,-0.9114516377449036,48.87921531529517,2.368741946996129,49.50223159790039,3.113229751586914,0.7990306615829468,0.800000011920929,20,0.5,0.28125,0,0,0,0,1.1763519048690796,0.7177882790565491
0.41168084740638733,-0.005997304804623127,-0.039483994245529175,-0.910452663898468,48.87921630000008,2.368743700000114,49.4640007019043,3.075000047683716,0.7990306615829468,0.800000011920929,20,0,0,0,0,0,0,0,100,false,FS_TAKINGOFF,PM_UNKNOWN,19667000,0.4113463759422302,0,0,-0.911479115486145,0.41140732169151306,-0.000012714038348349277,0.000025977007680921815,-0.9114516377449036,48.87921531529517,2.368741946996129,49.50223159790039,3.113229751586914,0.7990306615829468,0.800000011920929,20,0.5,0.28125,0,0,0,0,1.1763519048690796,0.7177882790565491
