drone/quat/w,drone/quat/x,drone/quat/y,drone/quat/z,drone/location/latitude,drone/location/longitude,drone/location/altitude_wgs84ellipsoid,drone/location/altitude_egm96amsl,drone/location/horizontal_accuracy,drone/location/vertical_accuracy,drone/location/sv_count,drone/ground_distance,drone/local_position/x,drone/local_position/y,drone/local_position/z,drone/speed/north,drone/speed/east,drone/speed/down,drone/battery_percentage,drone/animation_in_progress,drone/flying_state,drone/piloting_mode,camera/timestamp,camera/base_quat/w,camera/base_quat/x,camera/base_quat/y,camera/base_quat/z,camera/quat/w,camera/quat/x,camera/quat/y,camera/quat/z,camera/location/latitude,camera/location/longitude,camera/location/altitude_wgs84ellipsoid,camera/location/altitude_egm96amsl,camera/location/horizontal_accuracy,camera/location/vertical_accuracy,camera/location/sv_count,camera/principal_point/x,camera/principal_point/y,camera/exposure_time,camera/iso_gain,camera/awb_r_gain,camera/awb_b_gain,camera/hfov,camera/vfov
0.411626697,-0.005966075,-0.039488956,-0.910477161,48.8792163,2.3687437,49.4640007,3.075000048,0.799030662,0.800000012,20,0,0,0,0,0,0,0,100,FALSE,FS_TAKINGOFF,PM_UNKNOWN,19700000,0.411292106,0,0,-0.911503613,0.411398292,7.11E-07,-4.21E-07,-0.911455691,48.87921532,2.368741947,49.50223541,3.113237143,0.799030662,0.800000012,20,0.5,0.28125,0,0,0,0,1.176351905,0.717788279
0.411626697,-0.005966075,-0.039488956,-0.910477161,48.8792163,2.3687437,49.4640007,3.075000048,0.799030662,0.800000012,20,0,0,0,0,0,0,0,100,FALSE,FS_TAKINGOFF,PM_UNKNOWN,19700000,0.411292106,0,0,-0.911503613,0.411398292,7.11E-07,-4.21E-07,-0.911455691,48.87921532,2.368741947,49.50223541,3.113237143,0.799030662,0.800000012,20,0.5,0.28125,0,0,0,0,1.176351905,0.717788279
0.411621511,-0.005958969,-0.039485384,-0.910479605,48.8792163,2.3687437,49.4640007,3.075000048,0.799030662,0.800000012,20,0,0,0,0,0,0,0,100,FALSE,FS_TAKINGOFF,PM_UNKNOWN,19733000,0.411286414,0,0,-0.911506176,0.411365241,2.48749E-06,-6.68334E-06,-0.911470592,48.87921532,2.368741947,49.50223923,3.113239527,0.799030662,0.800000012,20,0.5,0.28125,0,0,0,0,1.176351905,0.717788279
0.411621511,-0.005958969,-0.039485384,-0.910479605,48.8792163,2.3687437,49.4640007,3.075000048,0.799030662,0.800000012,20,0,0,0,0,0,0,0,100,FALSE,FS_TAKINGOFF,PM_UNKNOWN,19733000,0.411286414,0,0,-0.911506176,0.411365241,2.48749E-06,-6.68334E-06,-0.911470592,48.87921532,2.368741947,49.50223923,3.113239527,0.799030662,0.800000012,20,0.5,0.28125,0,0,0,0,1.176351905,0.717788279
0.411614597,-0.005955765,-0.039497335,-0.910482287,48.8792163,2.3687437,49.4640007,3.075000048,0.799030662,0.800000012,20,0,0,0,0,0,0,0,100,FALSE,FS_TAKINGOFF,PM_UNKNOWN,19767000,0.41127944,0,0,-0.911509275,0.411346436,-2.36526E-06,4.4162E-06,-0.911479056,48.87921532,2.368741947,49.50223923,3.113238811,0.799030662,0.800000012,20,0.5,0.28125,0,0,0,0,1.176351905,0.717788279
0.411614597,-0.005955765,-0.039497335,-0.910482287,48.8792163,2.3687437,49.4640007,3.075000048,0.799030662,0.800000012,20,0,0,0,0,0,0,0,100,FALSE,FS_TAKINGOFF,PM_UNKNOWN,19767000,0.41127944,0,0,-0.911509275,0.411346436,-2.36526E-06,4.4162E-06,-0.911479056,48.87921532,2.368741947,49.50223923,3.113238811,0.799030662,0.800000012,20,0.5,0.28125,0,0,0,0,1.176351905,0.717788279
0.41162461,-0.005945254,-0.039491609,-0.910478115,48.8792162,2.3687435,49.26399994,2.875,0.799030662,0.800000012,20,0,0,0,0,0,0,0,100,FALSE,FS_TAKINGOFF,PM_UNKNOWN,19800000,0.411289781,0,0,-0.911504626,0.411339015,1.85E-07,-4.79E-07,-0.911482453,48.87921522,2.368741747,49.30224228,2.913241625,0.799030662,0.800000012,20,0.5,0.28125,0,0,0,0,1.176351905,0.717788279
0.41162461,-0.005945254,-0.039491609,-0.910478115,48.8792162,2.3687435,49.26399994,2.875,0.799030662,0.800000012,20,0,0,0,0,0,0,0,100,FALSE,FS_TAKINGOFF,PM_UNKNOWN,19800000,0.411289781,0,0,-0.911504626,0.411339015,1.85E-07,-4.79E-07,-0.911482453,48.87921522,2.368741747,49.30224228,2.913241625,0.799030662,0.800000012,20,0.5,0.28125,0,0,0,0,1.176351905,0.717788279
0.41162625,-0.005942524,-0.039510429,-0.910476565,48.8792162,2.3687435,49.26399994,2.875,0.799030662,0.800000012,20,0,0,0,0,0,0,0,100,FALSE,FS_TAKINGOFF,PM_UNKNOWN,19833000,0.411295116,0,0,-0.911502242,0.411342502,-6.73E-07,6.68E-07,-0.911480844,48.87921522,2.368741747,49.30223846,2.913239717,0.799030662,0.800000012,20,0.5,0.28125,0,0,0,0,1.176351905,0.717788279
0.41162625,-0.005942524,-0.039510429,-0.910476565,48.8792162,2.3687435,49.26399994,2.875,0.799030662,0.800000012,20,0,0,0,0,0,0,0,100,FALSE,FS_TAKINGOFF,PM_UNKNOWN,19833000,0.411295116,0,0,-0.911502242,0.411342502,-6.73E-07,6.68E-07,-0.911480844,48.87921522,2.368741747,49.30223846,2.913239717,0.799030662,0.800000012,20,0.5,0.28125,0,0,0,0,1.176351905,0.717788279
0.41162765,-0.005966077,-0.039486971,-0.910476744,48.8792162,2.3687435,49.26399994,2.875,0.799030662,0.800000012,20,0,0,0,0,0,0,0,100,FALSE,FS_TAKINGOFF,PM_UNKNOWN,19867000,0.411292493,0,0,-0.911503434,0.411349177,3.4047E-06,-6.5699E-06,-0.911477864,48.87921522,2.368741747,49.30223846,2.913237333,0.799030662,0.800000012,20,0.5,0.28125,0,0,0,0,1.176351905,0.717788279
0.41162765,-0.005966077,-0.039486971,-0.910476744,48.8792162,2.3687435,49.26399994,2.875,0.799030662,0.800000012,20,0,0,0,0,0,0,0,100,FALSE,FS_TAKINGOFF,PM_UNKNOWN,19867000,0.411292493,0,0,-0.911503434,0.411349177,3.4047E-06,-6.5699E-06,-0.911477864,48.87921522,2.368741747,49.30223846,2.913237333,0.799030662,0.800000012,20,0.5,0.28125,0,0,0,0,1.176351905,0.717788279
0.411635011,-0.005969274,-0.039471094,-0.910474062,48.8792162,2.3687435,49.26399994,2.875,0.799030662,0.800000012,20,0,0,0,0,0,0,0,100,FALSE,FS_TAKINGOFF,PM_UNKNOWN,19900000,0.411300093,0,0,-0.911499977,0.411348611,9.55E-08,-3.15E-07,-0.911478102,48.87921522,2.368741747,49.30223846,2.913238287,0.799030662,0.800000012,20,0.5,0.28125,0,0,0,0,1.176351905,0.717788279
0.411635011,-0.005969274,-0.039471094,-0.910474062,48.8792162,2.3687435,49.26399994,2.875,0.799030662,0.800000012,20,0,0,0,0,0,0,0,100,FALSE,FS_TAKINGOFF,PM_UNKNOWN,19900000,0.411300093,0,0,-0.911499977,0.411348611,9.55E-08,-3.15E-07,-0.911478102,48.87921522,2.368741747,49.30223846,2.913238287,0.799030662,0.800000012,20,0.5,0.28125,0,0,0,0,1.176351905,0.717788279
0.411634743,-0.005961424,-0.03946637,-0.91047442,48.8792162,2.3687435,49.26399994,2.875,0.799030662,0.800000012,20,0,0,0,0,0,0,0,100,FALSE,FS_TAKINGOFF,PM_UNKNOWN,19933000,0.411309659,0,0,-0.911495686,0.411349267,-2.08225E-05,4.12197E-05,-0.911477804,48.87921522,2.368741747,49.30223846,2.913240194,0.799030662,0.800000012,20,0.5,0.28125,0,0,0,0,1.176351905,0.717788279
